lb_code,ksmart_lb_code,lb_type,district_name,lb_name,ksmart_name,match_method,ward_agreement,wards_ours,wards_ksmart
C01001,C010100,Corporation,THIRUVANANTHAPURAM,Thiruvananthapuram,Thiruvananthapuram,exact,0.980,100,101
C02002,C020100,Corporation,KOLLAM,Kollam,Kollam,exact,0.964,56,56
C07003,C070100,Corporation,ERNAKULAM,Kochi,Kochi,exact,0.974,76,76
C08004,C080100,Corporation,THRISSUR,Thrissur,Thrissur,exact,0.946,56,56
C11005,C110100,Corporation,KOZHIKODE,Kozhikkode,Kozhikode,fuzzy,0.974,76,76
C13006,C130100,Corporation,KANNUR,Kannur,Kannur,exact,0.964,56,56
G01001,G011104,Grama Panchayat,THIRUVANANTHAPURAM,Parassala,Parassala,exact,1.000,24,24
G01002,G011102,Grama Panchayat,THIRUVANANTHAPURAM,Karode,Karode,exact,1.000,20,20
G01003,G011103,Grama Panchayat,THIRUVANANTHAPURAM,Kulathoor,Kulathoor,exact,1.000,21,21
G01004,G011101,Grama Panchayat,THIRUVANANTHAPURAM,Chenkal,Chenkal,exact,1.000,22,22
G01005,G011105,Grama Panchayat,THIRUVANANTHAPURAM,THIRUPURAM,Thirupuram,exact,1.000,15,15
G01006,G011106,Grama Panchayat,THIRUVANANTHAPURAM,Poovar,Poovar,exact,1.000,15,15
G01007,G010907,Grama Panchayat,THIRUVANANTHAPURAM,Vellarada,Vellarada,exact,0.958,24,24
G01008,G010906,Grama Panchayat,THIRUVANANTHAPURAM,Kunnathukal,Kunnathukal,exact,0.957,23,23
G01009,G010902,Grama Panchayat,THIRUVANANTHAPURAM,Kollayil,Kollayil,exact,1.000,18,18
G01010,G010901,Grama Panchayat,THIRUVANANTHAPURAM,Perumkadavila,Perumkadavila,exact,1.000,17,17
G01011,G010904,Grama Panchayat,THIRUVANANTHAPURAM,Aryankode,Aryancode,fuzzy,1.000,17,17
G01012,G010903,Grama Panchayat,THIRUVANANTHAPURAM,Ottasekaramangalam,Ottasekharamangalam,fuzzy,1.000,15,15
G01013,G010905,Grama Panchayat,THIRUVANANTHAPURAM,Kallikkadu,Kallikkadu,exact,0.929,14,14
G01014,G010908,Grama Panchayat,THIRUVANANTHAPURAM,Amboori,Amboori,exact,1.000,14,14
G01015,G011001,Grama Panchayat,THIRUVANANTHAPURAM,Athiyannoor,Athiyannoor,exact,1.000,18,18
G01016,G011002,Grama Panchayat,THIRUVANANTHAPURAM,Kanjiramkulam,Kanjiramkulam,exact,1.000,15,15
G01017,G011003,Grama Panchayat,THIRUVANANTHAPURAM,Karumkulam,Karumkulam,exact,1.000,19,19
G01018,G011004,Grama Panchayat,THIRUVANANTHAPURAM,Kottukal,Kottukal,exact,1.000,21,21
G01019,G011005,Grama Panchayat,THIRUVANANTHAPURAM,Venganoor,Venganoor,exact,0.955,22,22
G01020,G010803,Grama Panchayat,THIRUVANANTHAPURAM,MARANALLUR,Maranalloor,fuzzy,1.000,22,22
G01021,G010801,Grama Panchayat,THIRUVANANTHAPURAM,BALARAMAPURAM,Balaramapuram,exact,0.909,22,22
G01022,G010802,Grama Panchayat,THIRUVANANTHAPURAM,PALLICHAL,Pallichal,exact,0.917,24,24
G01023,G010804,Grama Panchayat,THIRUVANANTHAPURAM,MALAYINKEEZHU,Malayinkeezh,fuzzy,0.955,22,22
G01024,G010805,Grama Panchayat,THIRUVANANTHAPURAM,VILAPPIL,Vilappil,exact,0.909,22,22
G01025,G010806,Grama Panchayat,THIRUVANANTHAPURAM,VILAVOORKAL,Vilavoorkkal,fuzzy,0.950,20,20
G01026,G010807,Grama Panchayat,THIRUVANANTHAPURAM,KALLIYOOR,Kalliyoor,exact,1.000,24,24
G01027,G010701,Grama Panchayat,THIRUVANANTHAPURAM,ANDOORKONAM,Andoorkonam,exact,1.000,20,20
G01028,G010702,Grama Panchayat,THIRUVANANTHAPURAM,KADINAMKULAM,Kadinamkulam,exact,1.000,24,24
G01029,G010703,Grama Panchayat,THIRUVANANTHAPURAM,MANGALAPURAM,Mangalapuram,exact,1.000,22,22
G01030,G010704,Grama Panchayat,THIRUVANANTHAPURAM,POTHENCODE,Pothencode,exact,1.000,19,19
G01031,G010705,Grama Panchayat,THIRUVANANTHAPURAM,AZHOOR,Azhoor,exact,0.944,18,18
G01032,G010508,Grama Panchayat,THIRUVANANTHAPURAM,Kattakada,Kattakkada,fuzzy,0.958,24,24
G01033,G010503,Grama Panchayat,THIRUVANANTHAPURAM,Vellanad,Vellanad,exact,0.950,20,20
G01034,G010502,Grama Panchayat,THIRUVANANTHAPURAM,Poovachal,Poovachal,exact,1.000,24,24
G01035,G010501,Grama Panchayat,THIRUVANANTHAPURAM,Aryanad,Aryanad,exact,0.944,18,18
G01036,G010504,Grama Panchayat,THIRUVANANTHAPURAM,Vithura,Vithura,exact,0.944,18,18
G01037,G010506,Grama Panchayat,THIRUVANANTHAPURAM,Kuttichal,Kuttichal,exact,0.933,15,15
G01038,G010505,Grama Panchayat,THIRUVANANTHAPURAM,Uzhamalakkal,Uzhamalakkal,exact,0.938,16,16
G01039,G010507,Grama Panchayat,THIRUVANANTHAPURAM,Tholicode,Tholicode,exact,1.000,18,18
G01040,G010604,Grama Panchayat,THIRUVANANTHAPURAM,Karakulam,Karakulam,exact,1.000,24,24
G01041,G010602,Grama Panchayat,THIRUVANANTHAPURAM,Aruvikkara,Aruvikkara,exact,1.000,21,21
G01042,G010605,Grama Panchayat,THIRUVANANTHAPURAM,Vembayam,Vembayam,exact,0.957,23,23
G01043,G010601,Grama Panchayat,THIRUVANANTHAPURAM,Anadu,Anad,fuzzy,0.900,20,20
G01044,G010603,Grama Panchayat,THIRUVANANTHAPURAM,Panavoor,Panavoor,exact,1.000,16,16
G01045,G010404,Grama Panchayat,THIRUVANANTHAPURAM,Vamanapuram,Vamanapuram,exact,1.000,16,16
