pdf_id,g3-flash-preview think__id,g3-flash-preview think__name_en,g3-flash-preview think__name_ml,g3-flash-preview think__cost,g3-flash-preview think__n_raw,g3-flash-preview think__has_json,g3-flash-preview think__usd,g3-flash-preview think__out_tok,g3-flash-preview nothink__id,g3-flash-preview nothink__name_en,g3-flash-preview nothink__name_ml,g3-flash-preview nothink__cost,g3-flash-preview nothink__n_raw,g3-flash-preview nothink__has_json,g3-flash-preview nothink__usd,g3-flash-preview nothink__out_tok,g2.5-flash v2__id,g2.5-flash v2__name_en,g2.5-flash v2__name_ml,g2.5-flash v2__cost,g2.5-flash v2__n_raw,g2.5-flash v2__has_json,g2.5-flash v2__usd,g2.5-flash v2__out_tok,g3.1-flash-lite v2__id,g3.1-flash-lite v2__name_en,g3.1-flash-lite v2__name_ml,g3.1-flash-lite v2__cost,g3.1-flash-lite v2__n_raw,g3.1-flash-lite v2__has_json,g3.1-flash-lite v2__usd,g3.1-flash-lite v2__out_tok
0244755e-8aee-4aa7-ae5b-2292dec80c6e,,,,,6,False,0.058767,16322,,Project for giving arrear honorarium for cleaning staff and staff nurses employed in CSLTC,,,7,True,0.02007,3423,S0001/23,project for giving arrear honorarium for cleaning staff and staff nurses employed in CSLTC,കൊവിഡ പ്രതിരോധ പ്രവർത്തനങ്ങൾ എസ് എൽ ടി സി യിൽ നിയോഗിച്ചിരുന്ന ശുചീകരണ തൊഴിലാളികൾ സ്റാഫ് നേഴ്സ് എന്നിവർക്ക് മാർച് 31വരെ ജോലി ചെയ്ത വേതനം കുടിശിക നൽകൽ,1066449.0,1,True,0.016031,1814,S0001/23,project for giving arrear honorarium for cleaning staff and staff nurses employed in CSLTC,"കോവിഡ് പ്രതിരോധ പ്രവർത്തനങ്ങൾ എസ്.എൽ.സി.ജി യിൽ നിയമിച്ചിരിക്കുന്ന താൽക്കാലിക സ്റ്റാഫ് നേഴ്സ്, എനിക്കുലർ വാർഡ് 31 വരെ ജോലി ചെയ്ത വേതനം കുടിശ്ശിക നൽകൽ",1066449.0,1,True,0.009464,1459
0391e142-b170-4bef-923a-1b9dee44b9f3,,,,,7,False,0.066618,18939,,Repair of various Anganwadies in sector 3 2023(ward 1718197221),,2000000.0,9,True,0.020079,3426,S0036/23,Repair of various Anganwadies in sector 3 2023(ward 1718197221),സെക്ടർ 3 ലെ വിവിധ അംഗൻവാടികളുടെ റിപ്പയർ 2023,2000000.0,1,True,0.016951,2182,S0036/23,Repair of various Anganwadies in sector 3 2023(ward 1718197221),സെക്ടർ 3 ലെ വിവിധ അംഗൻവാടികൾ റിപ്പയർ 2023,2000000.0,1,True,0.009359,1389
04728dcf-f83c-4b75-b949-83a249ceb71a,,,,,3,False,0.047643,12615,,Purchase of photocopier machines for office use in kollam corporation,,150000.0,4,True,0.058188,16130,S1372/21,Purchase of photocopier machines for office use in kollam corporation,ഓഫീസ് ആവശ്യത്തിന് ഫോട്‌ടോകോപ്പിയർ വാങ്ങൽ,150000.0,1,True,0.015684,1676,S1372/21,Purchase of photocopier machines for office use in kollam corporation,ഓഫീസ് ആവശ്യത്തിന് ഫോട്ടോ കോപ്പിയർ വാങ്ങൽ,150000.0,1,True,0.009724,1633
083807a2-00b8-4451-97fd-c53e5640cd8f,,,,,3,False,0.038584,10679,,PLAN FORMULATION,,2000000.0,3,True,0.011584,1679,S0005/21,PLAN FORMULATION,പദ്ധതി രൂപീകരണം,2000000.0,1,True,0.01132,1464,S0005/21,PLAN FORMULATION,പദ്ധതി രൂപീകരണം,2000000.0,1,True,0.006706,1239
0897dc47-cf57-4bd0-a5aa-bbbacf278757,,,,,3,False,0.034483,9312,,Supply of Weed Harvest Agro Service Centre,,,4,True,0.011635,1696,S0654/17,Supply of Weed Harvest Agro Service Centre,അഗ്രോ സർവ്വീസ് സെൻററിന് പോള വാരൽ യന്ത്രം വാങ്ങുന്നതിന്,0.0,1,True,0.010835,1270,S0654/17,Supply of Weed Harvest Agro Service Centre,അഗ്രോ സർവ്വീസ് സെന്റർ പേപ്പർ വേസ്റ്റ് യന്ത്രം,5000000.0,1,True,0.005807,640
0970625d-4b68-4cb6-8692-0024e9bd9e4d,,,,,3,False,0.026227,6560,,RENT PAYMENT OF TRANSFERED INSTITUTION,,1000000.0,3,True,0.010795,1416,S0035/24,RENT PAYMENT OF TRANSFERED INSTITUTION,കൈമാറികിട്ടിയ സ്ഥാപനങ്ങളുടെ വാടക നൽകൽ,1000000.0,1,True,0.011122,1385,S0035/24,RENT PAYMENT OF TRANSFERED INSTITUTION,കൈമാറിയ സ്ഥാപനങ്ങളുടെ വാടക നൽകൽ,1000000.0,1,True,0.006251,936
0b14588f-097d-4a75-9fd0-6349ebfc7dac,,,,,6,False,0.059874,16691,,Eravipuram Zonal Din.Eravipuram Ayurveda hospital maitenance.,,800000.0,6,True,0.018621,2940,S0460/20,Eravipuram Zonal Din.Eravipuram Ayurveda hospital maitenance.,ഇരവിപുരം സോണൽ ടിവി. ഇരവിപുരം ആയുർവേദ ആശുപത്രി കെട്ടിട നവീകരണം,800000.0,1,True,0.015868,1749,S0460/20,Eravipuram Zonal Din.Eravipuram Ayurveda hospital maitenance.,ഇരവിപുരം സോണൽ ദിവി.ഇരവിപുരം ആയുർവേദ ആശുപത്രി കെട്ടിട നവീകരണം,800000.0,1,True,0.009379,1402
0bcf06ca-c6df-45f6-93cd-4eb420269944,,,,,3,False,0.028039,7164,,Daily Expence of Sachivothamapuram CHC,,200000.0,3,True,0.011131,1528,S0112/23,Daily Expence of Sachivothamapuram CHC,സചിവോത്തമപുരം സിഎച്ച്സി ദൈനംദിന ചിലവുകൾ,200000.0,1,True,0.010405,1098,S0112/23,Daily Expence of Sachivothamapuram CHC,സജീവമാക്കപ്പെട്ട എക്സ് റേ മെഷീൻ ചിലവുകൾ,200000.0,1,True,0.006268,947
0bf75c59-0cc1-4ec2-a67e-dc887b51152f,,,,,5,False,0.065141,18447,,with our off springs,,,15,True,0.019619,3273,32,,മക്കൾക്കൊപ്പം,1000000.0,1,True,0.509286,197585,S0032/20,with our off springs,മഴവെള്ളം,1000000.0,1,True,0.009112,1225
1137439f-1502-4200-9e7a-e30be639a533,,,,,5,False,0.059579,16592,,Marriage Grant,,,6,True,0.018269,2822,S0013/22,marriage Grant,വിവാഹധനസഹായം,1500000.0,1,True,0.015572,1630,S0013/22,Marriage Grant,വിവാഹധനസഹായം,1500000.0,1,True,0.009279,1335
