pdf_id,page_count,tiles,bucket,n_t,cost_t,n_n,cost_n,out_n,delta,cost_savings
55c16b11-afb8-4ae6-9bd7-59984fbb4cf2,13,4,median,3,0.034546,3,0.011182,1545,0,0.023364000000000003
d923d327-5da3-4497-b38a-6eab5d502e62,13,4,median,3,0.028786,4,0.011071,1508,1,0.017715
f8f4241d-5e9d-4b30-8bf5-cc73f4919eda,12,3,median,3,0.03801,4,0.008715,1263,1,0.029295
fb77a6cf-d79a-4c81-ab47-3dfb11620e00,21,6,top,3,0.053745,6,0.017814,2672,3,0.035931000000000005
a2c13cf0-b9dc-482d-9ab9-661c79cd5ac5,13,4,median,3,0.060448,4,0.011971,1808,1,0.048477
95e5f4c5-1e4d-4366-b887-84c817d01e48,24,6,top,5,0.063886,8,0.018985,3061,3,0.044900999999999996
22b34271-587b-4bc3-9246-90bf53a44ad6,13,4,median,3,0.037336,3,0.01147,1641,0,0.025866
c303d004-c543-414d-8722-ede6d2964f41,13,4,median,3,0.03466,6,0.012859,2104,3,0.021801
43a6f5e3-b4b7-4945-8cfd-819513b06704,13,4,median,3,0.039904,4,0.011956,1803,1,0.027948
0244755e-8aee-4aa7-ae5b-2292dec80c6e,23,6,top,6,0.058767,7,0.02007,3423,1,0.038696999999999995
77a40988-7ffb-4b6f-83fb-86b01e702749,29,8,top,7,0.084578,6,0.024809,3920,-1,0.059769
f79ad7b0-100b-4492-9494-3cce1512dc78,13,4,median,3,0.033463,6,0.011836,1763,3,0.021627
67430561-fa0e-4457-bde9-f226e49b365a,19,5,top,28,0.075466,20,0.023068,4964,-8,0.052398
4d458902-b1f1-456c-81dc-c1b9045ee446,13,4,median,3,0.042274,3,0.011824,1759,0,0.030449999999999998
8cad15fe-e2cb-4ba3-a970-0e6d5d2d2d84,24,6,top,7,0.065348,8,0.019693,3297,1,0.045655
f4245881-17bd-451e-815b-5b0d5e565ac3,24,6,top,19,0.094942,16,0.023075,4424,-3,0.071867
dfc50ad1-cec3-4177-9998-f4cf0249e509,22,6,top,7,0.07193,12,0.021523,3908,5,0.050406999999999993
43af34aa-0af3-4f6c-8ed8-d1155d69626b,22,6,top,7,0.058877,6,0.017674,2625,-1,0.041203000000000004
0970625d-4b68-4cb6-8692-0024e9bd9e4d,13,4,median,3,0.026227,3,0.010795,1416,0,0.015432
a8010d00-efe7-4f2d-8898-1e4fe7db4917,13,4,median,3,0.03832,3,0.010969,1474,0,0.027351
c0da2e9b-daf5-45e1-b08c-bdfa9e2035fb,21,6,top,5,0.05271,6,0.035865,8689,1,0.016845
aceecaf0-5478-4c4c-bf9f-1afaeb1974dd,21,6,top,5,0.06975,9,0.019143,3115,4,0.050607000000000006
6005d56c-f075-4673-a513-e9cacab63ea8,12,3,median,7,0.03003,5,0.010017,1697,-2,0.020013000000000003
8923adf0-9c7b-4e0b-8363-badeb17bfb82,21,6,top,5,0.064008,5,0.017583,2595,0,0.046424999999999994
d1ff72c3-05a8-4d55-accc-c987616af20a,13,4,median,3,0.034948,4,0.011857,1770,1,0.023091
c4d339fa-4a1d-4f2c-b4e8-24bc6c106000,24,6,top,10,0.060272,10,0.019985,3394,0,0.040287
af4c3f85-6e07-45cc-9daa-b14815d871f8,13,4,median,4,0.041887,5,0.013051,2168,1,0.028836
5f3414b4-8e64-4bb5-90a1-7f6de1de8fb2,21,6,top,4,0.069954,4,0.018069,2757,0,0.051885
86959f3d-18b4-49b6-aa19-ba4a0a1e5986,40,10,top,18,0.136574,57,0.048122,10604,39,0.088452
