pdf_id,gcs_path,gcs_bucket,file_size_bytes,bucket,year_label,lb_type_label,district_name,local_body_name,project_no,era
55c16b11-afb8-4ae6-9bd7-59984fbb4cf2,pdfs/2013-2014/Block_Panchayat/Idukki/Devikulam_Block_Panchayat/3.pdf,your-pdf-bucket,172154,median,2013-2014,Block Panchayat,Idukki,Devikulam Block Panchayat,3,2012-2016
b4937393-82b6-4ca7-9fc5-28089a66e20d,pdfs/2013-2014/Block_Panchayat/Thiruvananthapuram/Kilimanoor_Block_Panchayat/60.pdf,your-pdf-bucket,173255,median,2013-2014,Block Panchayat,Thiruvananthapuram,Kilimanoor Block Panchayat,60,2012-2016
1217429b-088b-445d-a120-efe576e9c351,pdfs/2016-2017/Block_Panchayat/Kozhikode/Kunnamangalam_Block_Panchayat/138.pdf,your-pdf-bucket,173210,median,2016-2017,Block Panchayat,Kozhikode,Kunnamangalam Block Panchayat,138,2012-2016
b363c1be-aa7c-4984-b7dd-7ad620f76d36,pdfs/2019-2020/Block_Panchayat/Thiruvananthapuram/Pothencode_Block_Panchayat/33.pdf,your-pdf-bucket,173133,median,2019-2020,Block Panchayat,Thiruvananthapuram,Pothencode Block Panchayat,33,2017-2020
3beb06c1-f94e-4910-90e7-31a313527e26,pdfs/2020-2021/Block_Panchayat/Kollam/Kottarakara_Block_Panchayat/178.pdf,your-pdf-bucket,173054,median,2020-2021,Block Panchayat,Kollam,Kottarakara Block Panchayat,178,2017-2020
93f29672-bfce-496f-945f-71c188a3ee92,pdfs/2019-2020/Block_Panchayat/Alappuzha/Aryad_Block_Panchayat/102.pdf,your-pdf-bucket,172263,median,2019-2020,Block Panchayat,Alappuzha,Aryad Block Panchayat,102,2017-2020
53151355-7822-4f7a-8029-68c32c1a8db7,pdfs/2021-2022/Block_Panchayat/Kozhikode/Koduvally_Block_Panchayat/191.pdf,your-pdf-bucket,173336,median,2021-2022,Block Panchayat,Kozhikode,Koduvally Block Panchayat,191,2021-2026
0bcf06ca-c6df-45f6-93cd-4eb420269944,pdfs/2022-2023/Block_Panchayat/Kottayam/Pallom_Block_Panchayat/112.pdf,your-pdf-bucket,172100,median,2022-2023,Block Panchayat,Kottayam,Pallom Block Panchayat,112,2021-2026
ed4762d8-1a24-45d6-94b5-5db7cb306f32,pdfs/2024-2025/Block_Panchayat/Thiruvananthapuram/Pothencode_Block_Panchayat/72.pdf,your-pdf-bucket,171628,median,2024-2025,Block Panchayat,Thiruvananthapuram,Pothencode Block Panchayat,72,2021-2026
244c4b59-ad35-41f2-b697-d03673096dd1,pdfs/2013-2014/Corporation/Kozhikode/Kozhikkode_Corporation/210.pdf,your-pdf-bucket,173128,median,2013-2014,Corporation,Kozhikode,Kozhikkode Corporation,210,2012-2016
083807a2-00b8-4451-97fd-c53e5640cd8f,pdfs/2020-2021/Corporation/Thiruvananthapuram/Thiruvananthapuram_Corporation/1794.pdf,your-pdf-bucket,173283,median,2020-2021,Corporation,Thiruvananthapuram,Thiruvananthapuram Corporation,1794,2017-2020
a2c13cf0-b9dc-482d-9ab9-661c79cd5ac5,pdfs/2020-2021/Corporation/Thiruvananthapuram/Thiruvananthapuram_Corporation/1519.pdf,your-pdf-bucket,172311,median,2020-2021,Corporation,Thiruvananthapuram,Thiruvananthapuram Corporation,1519,2017-2020
22b34271-587b-4bc3-9246-90bf53a44ad6,pdfs/2020-2021/Corporation/Thiruvananthapuram/Thiruvananthapuram_Corporation/1305.pdf,your-pdf-bucket,172178,median,2020-2021,Corporation,Thiruvananthapuram,Thiruvananthapuram Corporation,1305,2017-2020
43a6f5e3-b4b7-4945-8cfd-819513b06704,pdfs/2023-2024/Corporation/Kozhikode/Kozhikkode_Corporation/1662.pdf,your-pdf-bucket,172725,median,2023-2024,Corporation,Kozhikode,Kozhikkode Corporation,1662,2021-2026
4d458902-b1f1-456c-81dc-c1b9045ee446,pdfs/2022-2023/Corporation/Kannur/Kannur_Corporation/1152.pdf,your-pdf-bucket,172078,median,2022-2023,Corporation,Kannur,Kannur Corporation,1152,2021-2026
0970625d-4b68-4cb6-8692-0024e9bd9e4d,pdfs/2023-2024/Corporation/Kollam/Kollam_Corporation/35.pdf,your-pdf-bucket,171213,median,2023-2024,Corporation,Kollam,Kollam Corporation,35,2021-2026
d1ff72c3-05a8-4d55-accc-c987616af20a,pdfs/2014-2015/District_Panchayat/Ernakulam/Ernakulam_District_Panchayat/773.pdf,your-pdf-bucket,173198,median,2014-2015,District Panchayat,Ernakulam,Ernakulam District Panchayat,773,2012-2016
6f97c075-ee0d-43a3-8ae1-f2b5e18e7c05,pdfs/2016-2017/District_Panchayat/Kollam/Kollam_District_Panchayat/624.pdf,your-pdf-bucket,172510,median,2016-2017,District Panchayat,Kollam,Kollam District Panchayat,624,2012-2016
0897dc47-cf57-4bd0-a5aa-bbbacf278757,pdfs/2016-2017/District_Panchayat/Kottayam/Kottayam_District_Panchayat/654.pdf,your-pdf-bucket,173210,median,2016-2017,District Panchayat,Kottayam,Kottayam District Panchayat,654,2012-2016
d6d98c16-2958-4f82-a714-858140d0b4b9,pdfs/2019-2020/District_Panchayat/Thrissur/Thrissur_District_Panchayat/259.pdf,your-pdf-bucket,172769,median,2019-2020,District Panchayat,Thrissur,Thrissur District Panchayat,259,2017-2020
c77c2273-0849-4407-b237-8574f5f6d670,pdfs/2019-2020/District_Panchayat/Kannur/Kannur_District_Panchayat/925.pdf,your-pdf-bucket,171508,median,2019-2020,District Panchayat,Kannur,Kannur District Panchayat,925,2017-2020
5fc20805-27f0-40f2-b245-dcb6dc0af1f0,pdfs/2019-2020/District_Panchayat/Idukki/Idukki_District_Panchayat/751.pdf,your-pdf-bucket,172916,median,2019-2020,District Panchayat,Idukki,Idukki District Panchayat,751,2017-2020
94e19cf5-87f6-4d23-a6f3-797dcfd20944,pdfs/2021-2022/District_Panchayat/Pathanamthitta/Pathanamthitta_District_Panchayat/687.pdf,your-pdf-bucket,172928,median,2021-2022,District Panchayat,Pathanamthitta,Pathanamthitta District Panchayat,687,2021-2026
4cb422c4-ca49-45a9-bdf4-e13eed3d1ee9,pdfs/2021-2022/District_Panchayat/Kottayam/Kottayam_District_Panchayat/873.pdf,your-pdf-bucket,173270,median,2021-2022,District Panchayat,Kottayam,Kottayam District Panchayat,873,2021-2026
5ee435b5-0f71-443a-822b-e3d2cfd05a74,pdfs/2021-2022/District_Panchayat/Pathanamthitta/Pathanamthitta_District_Panchayat/125.pdf,your-pdf-bucket,172388,median,2021-2022,District Panchayat,Pathanamthitta,Pathanamthitta District Panchayat,125,2021-2026
cc82ead1-dc2b-4234-8865-dea7b70d5b76,pdfs/2016-2017/Grama_Panchayat/Wayanad/Vythiri_Grama_Panchayat/190.pdf,your-pdf-bucket,172573,median,2016-2017,Grama Panchayat,Wayanad,Vythiri Grama Panchayat,190,2012-2016
50c203c7-8517-48b6-b049-68c94e994383,pdfs/2015-2016/Grama_Panchayat/Kottayam/Maravanthuruthu_Grama_Panchayat/35.pdf,your-pdf-bucket,172448,median,2015-2016,Grama Panchayat,Kottayam,Maravanthuruthu Grama Panchayat,35,2012-2016
9e464f19-58f4-485e-976e-8dd25fd01531,pdfs/2016-2017/Grama_Panchayat/Alappuzha/Arattupuzha_Grama_Panchayat/159.pdf,your-pdf-bucket,171628,median,2016-2017,Grama Panchayat,Alappuzha,Arattupuzha Grama Panchayat,159,2012-2016
dcce667f-55ad-4842-b52b-bd0e3f6de65b,pdfs/2018-2019/Grama_Panchayat/Malappuram/Morayur_Grama_Panchayat/146.pdf,your-pdf-bucket,172187,median,2018-2019,Grama Panchayat,Malappuram,Morayur Grama Panchayat,146,2017-2020
3feaa81d-0d22-4695-8d37-30d937f704bf,pdfs/2018-2019/Grama_Panchayat/Kannur/Munderi_Grama_Panchayat/99.pdf,your-pdf-bucket,172523,median,2018-2019,Grama Panchayat,Kannur,Munderi Grama Panchayat,99,2017-2020
9e75d556-516b-42bf-9fff-59fbff387739,pdfs/2020-2021/Grama_Panchayat/Kozhikode/Karasseri_Grama_Panchayat/180.pdf,your-pdf-bucket,172157,median,2020-2021,Grama Panchayat,Kozhikode,Karasseri Grama Panchayat,180,2017-2020
d923d327-5da3-4497-b38a-6eab5d502e62,pdfs/2023-2024/Grama_Panchayat/Kollam/Kadakkal_Grama_Panchayat/105.pdf,your-pdf-bucket,170977,median,2023-2024,Grama Panchayat,Kollam,Kadakkal Grama Panchayat,105,2021-2026
c303d004-c543-414d-8722-ede6d2964f41,pdfs/2024-2025/Grama_Panchayat/Thrissur/Parappukkara_Grama_Panchayat/39.pdf,your-pdf-bucket,172815,median,2024-2025,Grama Panchayat,Thrissur,Parappukkara Grama Panchayat,39,2021-2026
