bin_lo,bin_hi,bin_mid,count,cumulative_pct
1163,1415,1289,0,0.0
1415,1723,1569,0,0.0
1723,2098,1911,0,0.0
2098,2555,2327,0,0.0
2555,3111,2833,0,0.0
3111,3788,3449,0,0.0
3788,4612,4200,0,0.0
4612,5615,5113,0,0.0
5615,6836,6226,0,0.0
6836,8323,7580,0,0.0
8323,10134,9229,0,0.0
10134,12339,11236,1,5.124192491315775e-05
12339,15023,13681,0,5.124192491315775e-05
15023,18290,16656,0,5.124192491315775e-05
18290,22269,20280,2,0.00015372577473947324
22269,27113,24691,0,0.00015372577473947324
27113,33010,30062,1,0.000204967699652631
33010,40191,36601,0,0.000204967699652631
40191,48933,44562,0,0.000204967699652631
48933,59577,54255,2,0.0003074515494789465
59577,72536,66057,0,0.0003074515494789465
72536,88314,80425,2,0.000409935399305262
88314,107524,97919,3,0.0005636611740447352
107524,130913,119219,120,0.006712692163623665
130913,159389,145151,494081,25.324374195181516
159389,194059,176724,1442514,99.24156826936036
194059,236270,215164,14797,99.99979503230034
236270,287663,261966,3,99.99994875807509
287663,350235,318949,1,100.0
